game,ply,side,san,uci,fen_before,depth,nodes,nps,engine_time_ms,wall_time_s,time_gap_ms,score_type,score_val,score_cp,pv,bookns,ttns,singns,evalns,probcutns,sf_best_move,sf_best_cp,sf_actual_cp,sf_cp_lost,sf_match,sf_mate_involved,sf_accuracy,sf_class
7,162,black,Rb4+,c4b4,6k1/R6p/P7/8/2r5/7P/1K6/8 b - - 12 81,19,28185119,10716775,2630,3.001,371,cp,-90,-90,c4b4 b2c3 b4b6 c3c4 b6f6 c4d5 f6h6 d5d4 h6h4 d4e5 h4h5 e5e4 h5h4 e4f5 h4h5 f5g4 h5h6,30,855728519,3137835141,259806675,5990,c4b4,-5,-5,0,True,False,99.9999,Best
7,163,white,Ka3,b2a3,6k1/R6p/P7/8/1r6/7P/1K6/8 w - - 13 82,17,14477829,5921402,2445,3.001,556,cp,88,88,b2a3 b4b6 a3a4 b6h6 a7a8 g8g7 a6a7,40,388218055,1296433956,123663970,19488,b2a3,8,5,3,True,False,98.76704605974702,Best
7,164,black,Rb6,b4b6,6k1/R6p/P7/8/1r6/K6P/8/8 b - - 14 82,18,19584597,9826691,1993,3.0,1007,cp,-90,-90,b4b6 a3a4 b6f6 a4b4 f6f4 b4c3 f4f6 c3c4 f6h6 c4d4 h6h4 d4e5 h4h5 e5e4 h5h4 e4f5 h4h5 f5g4,50,589593647,2174576553,184803981,58146,b4b6,-5,-5,0,True,False,99.9999,Best
7,165,white,Ka4,a3a4,6k1/R6p/Pr6/8/8/K6P/8/8 w - - 15 83,18,21798998,7266332,3000,3.001,1,cp,88,88,a3a4 b6f6 a4b5 f6f5 b5c4 f5f6 c4c5 f6f5,110,593098541,1971427694,202572890,11819,a3a4,5,5,0,True,False,99.9999,Best
7,166,black,Rh6,b6h6,6k1/R6p/Pr6/8/K7/7P/8/8 b - - 16 83,17,13290415,8224266,1616,3.001,1385,cp,-74,-74,b6h6 a7a8 g8g7 a6a7 h6a6 a4b5 a6a3 b5b6 a3b3 b6c5 b3a3 c5c6,70,415133912,1379967395,127126356,50338,b6f6,-5,-497,492,False,False,18.619347633972815,Blunder
7,167,white,Ka5,a4a5,6k1/R6p/P6r/8/K7/7P/8/8 w - - 17 84,17,28405692,9465408,3001,3.001,0,cp,122,122,a4a5 h6h5 a5b4 h5h4,110,861897400,2838360092,298433298,150484,a4b5,499,498,1,False,False,99.80383996271924,Excellent
7,168,black,Rh5+,h6h5,6k1/R6p/P6r/K7/8/7P/8/8 b - - 18 84,18,24622802,9039207,2724,3.0,276,cp,-91,-91,h6h5 a5b6 h5h6 b6c7,110,789959167,2770588314,270999706,70549,h6h5,-498,-498,0,True,False,99.9999,Best
7,169,white,Kb4,a5b4,6k1/R6p/P7/K6r/8/7P/8/8 w - - 19 85,18,6590500,4881851,1350,3.001,1651,cp,122,122,a5b4 h5h4 b4b5 h4h5 b5b6 h5h6 b6b5,100,200018847,705537646,67238172,14189,a5b6,498,553,-55,False,False,99.9999,Excellent
7,170,black,Rh4+,h5h4,6k1/R6p/P7/7r/1K6/7P/8/8 b - - 20 85,17,9938153,6432461,1545,3.001,1456,cp,-90,-90,h5h4 b4c5 h4h6,30,315880096,1092960720,104453058,49670,h5h4,-553,-553,0,True,False,99.9999,Best
7,171,white,Kb5,b4b5,6k1/R6p/P7/8/1K5r/7P/8/8 w - - 21 86,18,9763495,8764358,1114,3.001,1887,cp,122,122,b4b5 h4h5 b5b4,80,289617928,1020393949,95882122,32570,b4a5,553,553,0,False,False,99.9999,Excellent
